tcp.flags.ack,tcp.flags,icmp.seq_le,icmp.checksum,tcp.ack_raw,tcp.checksum,http.request.method,udp.stream,tcp.dstport,tcp.connection.fin,tcp.connection.synack,tcp.ack,http.content_length,tcp.connection.syn,tcp.srcport,arp.hw.size,arp.opcode,tcp.connection.rst,tcp.len,frame.time,dns.qry.name.len,dns.qry.qu,udp.time_delta,mqtt.protoname,tcp.seq,Attack_type
1.0,16.0,0.0,0.0,415531661.0,8076.0,0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,49958.0,0.0,0.0,0.0,0.0, 2021 19:35:51.398131000 ,0.0,0.0,0.0,0.0,1.0,Vulnerability_scanner
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626751.0,0.0,0.0,0.0,0.0,0.0,0.0,28768.0,0.0,0.0,0.0,0.0,33.165.95.216,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202972.0,0.0,0.0,0.0,0.0,0.0,0.0,55880.0,0.0,0.0,0.0,0.0,241.153.187.119,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,0.0,21840.0,0.0,0.0,0.0,0.0,7955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.0.128,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721186.0,0.0,0.0,0.0,0.0,0.0,0.0,58982.0,0.0,0.0,0.0,0.0,41.33.226.240,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,937913.0,0.0,0.0,0.0,0.0,0.0,0.0,39963.0,0.0,0.0,0.0,0.0,15.133.51.241,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
1.0,24.0,0.0,0.0,701589662.0,19391.0,0,0.0,50492.0,0.0,0.0,917.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:38:57.558787000 ,0.0,0.0,0.0,0.0,2477.0,Vulnerability_scanner
1.0,24.0,0.0,0.0,1353631961.0,65036.0,0,0.0,48366.0,0.0,0.0,528.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:23:05.986002000 ,0.0,0.0,0.0,0.0,497.0,Vulnerability_scanner
1.0,24.0,0.0,0.0,1891230762.0,13299.0,GET,0.0,80.0,0.0,0.0,6932.0,0.0,0.0,49326.0,0.0,0.0,0.0,153.0, 2021 19:32:37.449405000 ,0.0,0.0,0.0,0.0,2156.0,Vulnerability_scanner
1.0,24.0,0.0,0.0,504308979.0,16926.0,0,0.0,48514.0,0.0,0.0,1230.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:23:56.909310000 ,0.0,0.0,0.0,0.0,1982.0,Vulnerability_scanner
1.0,24.0,0.0,0.0,3455336452.0,41587.0,GET,0.0,80.0,0.0,0.0,4457.0,36.0,0.0,48610.0,0.0,0.0,0.0,309.0, 2021 19:25:16.994592000 ,0.0,0.0,0.0,0.0,2462.0,Vulnerability_scanner
1.0,20.0,0.0,0.0,618245176.0,13434.0,0.0,0.0,10106.0,0.0,0.0,1.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0, 2021 18:28:58.648620000 ,0.0,0.0,0.0,0.0,1.0,Port_Scanning
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119236.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.0,0.0,0.0,0.0,0.0,99.141.198.68,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501239.0,0.0,0.0,0.0,0.0,0.0,0.0,57437.0,0.0,0.0,0.0,0.0,91.43.168.167,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
1.0,24.0,0.0,0.0,1484295653.0,1505.0,0,0.0,51096.0,0.0,0.0,21189.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:42:05.068679000 ,0.0,0.0,0.0,0.0,39650.0,Vulnerability_scanner
1.0,24.0,0.0,0.0,2013966124.0,24140.0,0.0,0.0,4321.0,0.0,0.0,1.0,0.0,0.0,47924.0,0.0,0.0,0.0,464.0, 2021 23:17:55.373503000 ,0.0,0.0,0.0,0.0,404177.0,Ransomware
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867270.0,0.0,0.0,0.0,0.0,0.0,0.0,61213.0,0.0,0.0,0.0,0.0,102.185.173.128,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
1.0,24.0,0.0,0.0,1453306566.0,6956.0,0.0,0.0,4321.0,0.0,0.0,1.0,0.0,0.0,56322.0,0.0,0.0,0.0,304.0, 2021 17:59:26.806614000 ,0.0,0.0,0.0,0.0,55297.0,Backdoor
1.0,24.0,0.0,0.0,43956425.0,11335.0,0,0.0,48762.0,0.0,0.0,14581.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:25:31.466950000 ,0.0,0.0,0.0,0.0,26237.0,Vulnerability_scanner
1.0,24.0,0.0,0.0,1777236620.0,41966.0,0,0.0,48940.0,0.0,0.0,4909.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:29:33.240317000 ,0.0,0.0,0.0,0.0,13631.0,Vulnerability_scanner
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16020.0,0.0,0.0,0.0,0.0,0.0,0.0,48492.0,0.0,0.0,0.0,0.0,239.135.85.134,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
1.0,16.0,0.0,0.0,265877134.0,9986.0,0.0,0.0,35306.0,0.0,0.0,111313.0,0.0,0.0,4321.0,0.0,0.0,0.0,0.0, 2021 16:10:13.286777000 ,0.0,0.0,0.0,0.0,1.0,Ransomware
0.0,0.0,2715.0,5614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 2021 23:23:24.211435000 ,0.0,0.0,0.0,0.0,0.0,DDoS_ICMP
0.0,0.0,53510.0,0.0,0.0,0.0,0.0,36768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.0.128,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,2.0,0.0,0.0,0.0,36323.0,0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,50654.0,0.0,0.0,0.0,0.0, 2021 19:39:41.004134000 ,0.0,0.0,0.0,0.0,0.0,Vulnerability_scanner
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267956.0,0.0,0.0,0.0,0.0,0.0,0.0,30291.0,0.0,0.0,0.0,0.0,21.182.193.68,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,0.0,4063.0,0.0,0.0,0.0,0.0,56353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.0.128,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
1.0,20.0,0.0,0.0,353714146.0,2887.0,0.0,0.0,48182.0,0.0,0.0,1.0,0.0,0.0,4321.0,0.0,0.0,1.0,0.0, 2021 23:09:37.763936000 ,0.0,0.0,0.0,0.0,1.0,Ransomware
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2337257.0,0.0,0.0,0.0,0.0,0.0,0.0,54377.0,0.0,0.0,0.0,0.0,242.33.102.61,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
1.0,24.0,0.0,0.0,2210367154.0,52770.0,0,0.0,49210.0,0.0,0.0,15784.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:30:45.380631000 ,0.0,0.0,0.0,0.0,23267.0,Vulnerability_scanner
1.0,20.0,0.0,0.0,2577812055.0,31976.0,0.0,0.0,48014.0,0.0,0.0,1.0,0.0,0.0,4321.0,0.0,0.0,1.0,0.0, 2021 22:55:36.598286000 ,0.0,0.0,0.0,0.0,1.0,Ransomware
1.0,24.0,0.0,0.0,3298926496.0,54347.0,GET,0.0,80.0,0.0,0.0,27227.0,36.0,0.0,48222.0,0.0,0.0,0.0,262.0, 2021 19:22:53.176245000 ,0.0,0.0,0.0,0.0,14561.0,Vulnerability_scanner
0.0,0.0,50688.0,45106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 2021 23:24:16.363517000 ,0.0,0.0,0.0,0.0,0.0,DDoS_ICMP
1.0,24.0,0.0,0.0,690977360.0,27032.0,0,0.0,49900.0,0.0,0.0,9489.0,277.0,0.0,80.0,0.0,0.0,0.0,495.0, 2021 19:35:38.337569000 ,0.0,0.0,0.0,0.0,16844.0,Vulnerability_scanner
0.0,2.0,0.0,0.0,851880903.0,15157.0,0.0,0.0,80.0,0.0,0.0,851880903.0,0.0,1.0,3131.0,0.0,0.0,0.0,0.0, 2021 16:32:35.413963000 ,0.0,0.0,0.0,0.0,0.0,Port_Scanning
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856397.0,0.0,0.0,0.0,0.0,0.0,0.0,38783.0,0.0,0.0,0.0,0.0,38.202.245.202,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
0.0,2.0,0.0,0.0,639339588.0,57835.0,0.0,0.0,80.0,0.0,0.0,639339588.0,0.0,1.0,2186.0,0.0,0.0,0.0,0.0, 2021 16:16:49.357283000 ,0.0,0.0,0.0,0.0,0.0,Port_Scanning
0.0,0.0,0.0,0.0,0.0,0.0,0.0,783726.0,0.0,0.0,0.0,0.0,0.0,0.0,27298.0,0.0,0.0,0.0,0.0,66.16.128.17,0.0,0.0,0.0,0.0,0.0,DDoS_UDP
